1746751111.5197382,UP
1746751111.520288,UP
1746751171.52293,UP
1746751171.523477,UP
1746751231.525934,UP
1746751231.5273201,UP
1746751291.531457,UP
1746751291.53164,UP
1746751351.53348,UP
1746751351.534592,UP
1746751411.5350919,UP
1746751411.5386398,UP
1746751471.539289,UP
1746751471.5396721,UP
1746751531.5448132,UP
1746751531.5449111,UP
1746751591.551102,UP
1746751591.5512168,UP
1746751651.553466,UP
1746751651.553546,UP
1746751711.555988,UP
1746751711.562828,UP
1746751771.557672,UP
1746751771.5717251,UP
1746751831.5622551,UP
1746751831.579576,UP
1746751891.567466,UP
1746751891.58382,UP
1746752791.820402,UP
1746752851.8333619,UP
1746752911.844162,UP
1746752971.846794,UP
1746753031.849971,UP
1746753091.855173,UP
1746753151.8584478,UP
1746753211.8616781,UP
1746753271.866606,UP
1746753331.872997,UP
1746753391.876776,UP
1746753451.906955,UP
1746753511.911906,UP
1746753571.914057,UP
1746753631.919459,UP
1746753691.939347,UP
1746753751.952248,UP
1746753811.9540951,UP
1746753871.964328,UP
1746753931.9750242,UP
1746753991.99277,UP
1746754052.0163,UP
1746754112.0211961,UP
1746754172.0240052,UP
1746754232.046952,UP
1746754292.060987,UP
1746754352.120907,UP
1746754412.174337,UP
1746754472.175665,UP
1746754532.1771631,UP
1746754880.479184,UP
